STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
72223013894,2024-01-01T00:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"170,1,N,0021,1","22000,1,9,N","016000,1,9,9","+0111,1","+0044,1","10217,1"
72223013894,2024-01-01T00:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"180,1,N,0021,1","22000,5,9,N","016093,1,9,9","+0100,1","+0039,1","10215,1"
72223013894,2024-01-01T01:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"999,9,C,0000,1","22000,5,9,N","016093,1,9,9","+0072,1","+0033,1","10218,1"
72223013894,2024-01-01T02:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"999,9,C,0000,1","22000,5,9,N","016093,1,9,9","+0067,1","+0039,1","10219,1"
72223013894,2024-01-01T03:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"999,9,C,0000,1","22000,1,9,N","016000,1,9,9","+0067,1","+0039,1","10219,1"
72223013894,2024-01-01T03:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"190,1,N,0026,1","22000,5,9,N","011265,1,9,9","+0089,1","+0061,1","10220,1"
72223013894,2024-01-01T04:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"190,1,N,0026,1","22000,5,9,N","011265,1,9,9","+0089,1","+0067,1","10216,1"
72223013894,2024-01-01T05:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"210,1,N,0015,1","22000,1,9,N","008047,1,9,9","+0078,1","+0061,1","10216,1"
72223013894,2024-01-01T05:59:00,6,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",SOD  ,KMOB ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9"
72223013894,2024-01-01T05:59:00,6,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",SOM  ,KMOB ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9"
72223013894,2024-01-01T06:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"210,1,N,0015,1","99999,9,9,N","008000,1,9,9","+0078,1","+0061,1","10216,1"
72223013894,2024-01-01T06:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"210,5,N,0026,5","22000,5,9,N","016093,5,N,5","+0111,5","+0089,5","10215,5"
72223013894,2024-01-01T07:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"220,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0117,5","+0094,5","10211,5"
72223013894,2024-01-01T08:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"220,5,N,0031,5","22000,5,9,N","016093,5,N,5","+0117,5","+0094,5","10210,5"
72223013894,2024-01-01T09:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"220,1,N,0031,1","99999,9,9,N","016000,1,9,9","+0117,1","+0094,1","10210,1"
72223013894,2024-01-01T09:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"250,5,N,0015,5","22000,5,9,N","016093,5,N,5","+0106,5","+0089,5","10215,5"
72223013894,2024-01-01T10:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","008047,5,N,5","+0094,5","+0083,5","10216,5"
72223013894,2024-01-01T11:16:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","002816,5,N,5","+0089,5","+0078,5","99999,9"
72223013894,2024-01-01T11:29:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-16,KMOB ,V030,"999,9,C,0000,5","07620,5,M,N","009656,5,N,5","+0083,5","+0078,5","99999,9"
72223013894,2024-01-01T11:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","07620,5,M,N","009656,5,N,5","+0067,5","+0056,5","10219,5"
72223013894,2024-01-01T12:00:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,N","009000,1,9,9","+0067,1","+0056,1","10219,1"
72223013894,2024-01-01T12:56:00,7,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,KMOB ,V030,"999,9,C,0000,5","22000,5,9,N","009656,5,N,5","+0072,5","+0061,5","10221,5"
72223013894,2024-01-01T13:56:00,4,30.68819,-88.24598,65.5,"MOBILE REGIONAL AIRPORT, AL US",FM-15,99999,V020,"999,9,C,0000,1","22000,5,9,N","009656,1,9,9","+0106,1","+0089,1","10229,1"
