EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1076808,MADISON CO.,CLUTTSVILLE,01/03/2023,1204,Thunderstorm Wind,61.00, ,0,0,10000,0,AL,CST-6,EG,175314,C,89,HUN,0,0,Broadcast Media, , , ,1,SSW,1,SSW,CLUTTSVILLE,01/03/2023,1204,34.81,-86.78,34.81,-86.78,A metal barn was knocked down.,"A quasi-linear convective system progressed east through north Alabama and southern middle Tennessee from the late morning through the middle afternoon hours.  A supercell within the line produced an EF-1 tornado in Franklin County northwest of Russellville. Damaging winds were reported at times along this line, knocking down trees, power lines, and producing damage to some homes.  A second area of thunderstorms arrived during the mid to late evening hours in northwest Alabama, producing excessive rainfall and flooding in the Florence area.",1
1076810,MADISON CO.,JEFF,01/03/2023,1208,Thunderstorm Wind,61.00, ,0,0,0,0,AL,CST-6,EG,175314,C,89,HUN,0,0,Public, , , ,1,SW,1,SW,JEFF,01/03/2023,1208,34.81,-86.73,34.81,-86.73,"Report of broken windows, siding and shutters peeled and trees knocked down.","A quasi-linear convective system progressed east through north Alabama and southern middle Tennessee from the late morning through the middle afternoon hours.  A supercell within the line produced an EF-1 tornado in Franklin County northwest of Russellville. Damaging winds were reported at times along this line, knocking down trees, power lines, and producing damage to some homes.  A second area of thunderstorms arrived during the mid to late evening hours in northwest Alabama, producing excessive rainfall and flooding in the Florence area.",2
1087378,MADISON CO.,STEGERS STORE,03/01/2023,2233,Thunderstorm Wind,70.00, ,0,0,0,0,AL,CST-6,EG,176764,C,89,HUN,0,0,Emergency Manager, , , ,1,N,1,N,STEGERS STORE,03/01/2023,2233,34.9,-86.57,34.9,-86.57,Power poles were snapped near Highway 231 and Walker Lane. Time estimated by radar.,"Supercells erupted during the late afternoon and early evening hours in northern Mississippi and spread east across north Alabama during the rest of the evening into the overnight hours.  At least one tornado was determined to produce damage in northern Madison County near New Market. Other reports of damaging winds were reported. The other impact from this evening was excessive rainfall and flash flooding. A band of 3-6 inch rainfall occurred from northwest into north central Alabama, resulting in several area creeks and small streams going into flood.",8
1087400,MADISON CO.,FLETCHER CHAPEL,03/03/2023,1121,Thunderstorm Wind,52.00, ,0,0,3000,0,AL,CST-6,EG,176765,C,89,HUN,0,0,Emergency Manager, , , ,3,WSW,3,WSW,FLETCHER CHAPEL,03/03/2023,1121,34.7209,-86.72,34.7209,-86.72,Trees were knocked down on power lines along Eastview Drive between Highland Drive and Slaughter Road.,"A prolonged damaging gradient wind event combined with an intense squall line during the daylight hours of the 3rd to produce widespread wind damage and impacts to the region. Numerous power outages resulted from power poles being snapped and power lines being brought down.  All told, thousands were without power in north Alabama for at least for a couple of hours, and in some cases lasting into the next two to three days. Hundreds of reports of trees or limbs being knocked down were received, in many cases on homes, vehicles and other structures. Sadly, two people were killed outside their homes from fallen trees while picking up debris after the line of thunderstorms went through and additional high winds developed.  Other minor injuries were also reported including one utility worker who was working to restore power.||A powerful low pressure system intensified rapidly as it moved northeast from Texas through Arkansas, southeast Missouri into western Kentucky.  In doing so, very windy conditions developed across the Tennessee Valley ahead of an associated cold front and squall line. South winds increased to 35-45 mph, with gusts of 55-60 mph at times. An intense squall line moved in from Mississippi during the mid morning hours, sweeping east across the rest of the area through the midday hours. Peak wind gusts of 50-60 mph were reported frequently, with one gust up to 77 mph at Pryor Field in Decatur (Morgan County) and 69 mph at the Huntsville International Airport (Madison County). Also, at least two tornadoes were spawned by the line in Jackson County.  Behind the line of thunderstorms, the sky cleared out rapidly, but southwest winds intensified as well, with 35-45 mph sustained winds, gusting at 55-65 mph. The winds finally subsided quickly near sunset, but not after additional damage occurred.",15
1087401,MADISON CO.,MADISON,03/03/2023,1122,Thunderstorm Wind,52.00, ,0,0,1000,0,AL,CST-6,EG,176765,C,89,HUN,0,0,Emergency Manager, , , ,1,NE,1,NE,MADISON,03/03/2023,1122,34.7068,-86.7598,34.7068,-86.7598,Trees were knocked down on Browns Ferry Road.,"A prolonged damaging gradient wind event combined with an intense squall line during the daylight hours of the 3rd to produce widespread wind damage and impacts to the region. Numerous power outages resulted from power poles being snapped and power lines being brought down.  All told, thousands were without power in north Alabama for at least for a couple of hours, and in some cases lasting into the next two to three days. Hundreds of reports of trees or limbs being knocked down were received, in many cases on homes, vehicles and other structures. Sadly, two people were killed outside their homes from fallen trees while picking up debris after the line of thunderstorms went through and additional high winds developed.  Other minor injuries were also reported including one utility worker who was working to restore power.||A powerful low pressure system intensified rapidly as it moved northeast from Texas through Arkansas, southeast Missouri into western Kentucky.  In doing so, very windy conditions developed across the Tennessee Valley ahead of an associated cold front and squall line. South winds increased to 35-45 mph, with gusts of 55-60 mph at times. An intense squall line moved in from Mississippi during the mid morning hours, sweeping east across the rest of the area through the midday hours. Peak wind gusts of 50-60 mph were reported frequently, with one gust up to 77 mph at Pryor Field in Decatur (Morgan County) and 69 mph at the Huntsville International Airport (Madison County). Also, at least two tornadoes were spawned by the line in Jackson County.  Behind the line of thunderstorms, the sky cleared out rapidly, but southwest winds intensified as well, with 35-45 mph sustained winds, gusting at 55-65 mph. The winds finally subsided quickly near sunset, but not after additional damage occurred.",16
1090855,MADISON CO.,MADISON CO JET PORT,03/03/2023,1128,Thunderstorm Wind,58.00, ,0,0,610000,0,AL,CST-6,MG,176765,C,89,HUN,0,0,Utility Company, , , ,0,WSW,4,ESE,GREENFIELD,03/03/2023,1206,34.6468,-86.7871,34.8157,-86.3438,"According to Huntsville Utilities alone, 59 power poles were knocked down or damaged, 110 power lines were downed, and 64 trees were knocked down. These are likely conservative estimates for the entire county.","A prolonged damaging gradient wind event combined with an intense squall line during the daylight hours of the 3rd to produce widespread wind damage and impacts to the region. Numerous power outages resulted from power poles being snapped and power lines being brought down.  All told, thousands were without power in north Alabama for at least for a couple of hours, and in some cases lasting into the next two to three days. Hundreds of reports of trees or limbs being knocked down were received, in many cases on homes, vehicles and other structures. Sadly, two people were killed outside their homes from fallen trees while picking up debris after the line of thunderstorms went through and additional high winds developed.  Other minor injuries were also reported including one utility worker who was working to restore power.||A powerful low pressure system intensified rapidly as it moved northeast from Texas through Arkansas, southeast Missouri into western Kentucky.  In doing so, very windy conditions developed across the Tennessee Valley ahead of an associated cold front and squall line. South winds increased to 35-45 mph, with gusts of 55-60 mph at times. An intense squall line moved in from Mississippi during the mid morning hours, sweeping east across the rest of the area through the midday hours. Peak wind gusts of 50-60 mph were reported frequently, with one gust up to 77 mph at Pryor Field in Decatur (Morgan County) and 69 mph at the Huntsville International Airport (Madison County). Also, at least two tornadoes were spawned by the line in Jackson County.  Behind the line of thunderstorms, the sky cleared out rapidly, but southwest winds intensified as well, with 35-45 mph sustained winds, gusting at 55-65 mph. The winds finally subsided quickly near sunset, but not after additional damage occurred.",17
1087892,MADISON CO.,MADISON CO JET PORT,03/03/2023,1128,Thunderstorm Wind,58.00, ,0,0,0,0,AL,CST-6,MG,176765,C,89,HUN,0,0,ASOS, , , ,1,SW,1,SW,MADISON CO JET PORT,03/03/2023,1128,34.6436,-86.7856,34.6436,-86.7856,Recorded at the Huntsville International Airport.,"A prolonged damaging gradient wind event combined with an intense squall line during the daylight hours of the 3rd to produce widespread wind damage and impacts to the region. Numerous power outages resulted from power poles being snapped and power lines being brought down.  All told, thousands were without power in north Alabama for at least for a couple of hours, and in some cases lasting into the next two to three days. Hundreds of reports of trees or limbs being knocked down were received, in many cases on homes, vehicles and other structures. Sadly, two people were killed outside their homes from fallen trees while picking up debris after the line of thunderstorms went through and additional high winds developed.  Other minor injuries were also reported including one utility worker who was working to restore power.||A powerful low pressure system intensified rapidly as it moved northeast from Texas through Arkansas, southeast Missouri into western Kentucky.  In doing so, very windy conditions developed across the Tennessee Valley ahead of an associated cold front and squall line. South winds increased to 35-45 mph, with gusts of 55-60 mph at times. An intense squall line moved in from Mississippi during the mid morning hours, sweeping east across the rest of the area through the midday hours. Peak wind gusts of 50-60 mph were reported frequently, with one gust up to 77 mph at Pryor Field in Decatur (Morgan County) and 69 mph at the Huntsville International Airport (Madison County). Also, at least two tornadoes were spawned by the line in Jackson County.  Behind the line of thunderstorms, the sky cleared out rapidly, but southwest winds intensified as well, with 35-45 mph sustained winds, gusting at 55-65 mph. The winds finally subsided quickly near sunset, but not after additional damage occurred.",18
1087408,MADISON CO.,FLETCHER CHAPEL,03/03/2023,1134,Thunderstorm Wind,52.00, ,0,0,1000,0,AL,CST-6,EG,176765,C,89,HUN,0,0,Public, , , ,2,W,2,W,FLETCHER CHAPEL,03/03/2023,1134,34.73,-86.7,34.73,-86.7,Multiple trees were knocked down in Research Park.,"A prolonged damaging gradient wind event combined with an intense squall line during the daylight hours of the 3rd to produce widespread wind damage and impacts to the region. Numerous power outages resulted from power poles being snapped and power lines being brought down.  All told, thousands were without power in north Alabama for at least for a couple of hours, and in some cases lasting into the next two to three days. Hundreds of reports of trees or limbs being knocked down were received, in many cases on homes, vehicles and other structures. Sadly, two people were killed outside their homes from fallen trees while picking up debris after the line of thunderstorms went through and additional high winds developed.  Other minor injuries were also reported including one utility worker who was working to restore power.||A powerful low pressure system intensified rapidly as it moved northeast from Texas through Arkansas, southeast Missouri into western Kentucky.  In doing so, very windy conditions developed across the Tennessee Valley ahead of an associated cold front and squall line. South winds increased to 35-45 mph, with gusts of 55-60 mph at times. An intense squall line moved in from Mississippi during the mid morning hours, sweeping east across the rest of the area through the midday hours. Peak wind gusts of 50-60 mph were reported frequently, with one gust up to 77 mph at Pryor Field in Decatur (Morgan County) and 69 mph at the Huntsville International Airport (Madison County). Also, at least two tornadoes were spawned by the line in Jackson County.  Behind the line of thunderstorms, the sky cleared out rapidly, but southwest winds intensified as well, with 35-45 mph sustained winds, gusting at 55-65 mph. The winds finally subsided quickly near sunset, but not after additional damage occurred.",19
1087882,MADISON CO.,OAKWOOD COLLEGE,03/24/2023,2336,Thunderstorm Wind,43.00, ,0,0,200,0,AL,CST-6,EG,177309,C,89,HUN,0,0,Broadcast Media, , , ,1,E,1,E,OAKWOOD COLLEGE,03/24/2023,2336,34.75,-86.61,34.75,-86.61,A tree was knocked down along Oakwood Avenue.,"A severe line of thunderstorms rolled through north Alabama during the late evening hours of the 24th into the early morning hours of the 25th, producing 7 tornadoes. An embedded supercell thunderstorm with a history of tornadoes in Mississippi moved east-northeast across northwest Alabama, yielding another two tornadoes in Lauderdale County in Florence and near Anderson. Associated with this line, multiple narrow swaths of intense damaging winds of 60 to 90 mph occurred across the Shoals metro area, including Sheffield, Tuscumbia, Muscle Shoals and Florence.  The winds caused widespread power outages, damaged numerous structures, and toppled or snapped numerous trees, power poles and power lines. A few trees and power poles were dropped onto residences and vehicles, either destroying or heavily damaging them. Roof damages were reported at many locations as well. All told, an estimated #### million in damages occurred, the majority in northwest Alabama in Colbert and Lauderdale Counties.  As the line continued east, additional tornadoes were spawned in Lawrence, Morgan, Jackson and DeKalb Counties.",26
1094830,MADISON CO.,MADISON CO JET PORT,04/01/2023,218,Thunderstorm Wind,56.00, ,0,0,0,0,AL,CST-6,MG,177534,C,89,HUN,0,0,ASOS, , , ,1,SW,1,SW,MADISON CO JET PORT,04/01/2023,218,34.6436,-86.7856,34.6436,-86.7856,A wind gust of 65 mph was recorded at the Huntsville International Airport.,"As part of a larger regional outbreak of severe thunderstorms and tornadoes on March 31st into April 1st, a band of thunderstorms, many of them supercellular, pushed east across north Alabama and southern middle Tennessee during the early morning hours of the 1st. One of these thunderstorms produced an EF-3 tornado in northern Madison County along the Tennessee State Line. Other thunderstorms produced wind damage across parts of Madison in Jackson Counties of north central into northeast Alabama.",28
