EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
1076808,MADISON CO.,CLUTTSVILLE,01/03/2023,1204,Thunderstorm Wind,61.00, ,0,0,10000,0,AL,CST-6,EG,175314,C,89,HUN,0,0,Broadcast Media, , , ,1,SSW,1,SSW,CLUTTSVILLE,01/03/2023,1204,34.81,-86.78,34.81,-86.78,"A metal barn was knocked down.","A quasi-linear convective system progressed east through north Alabama and southern middle Tennessee from the late morning through the middle afternoon hours.  A supercell within the line produced an EF-1 tornado in Franklin County northwest of Russellville. Damaging winds were reported at times along this line, knocking down trees, power lines, and producing damage to some homes.  A second area of thunderstorms arrived during the mid to late evening hours in northwest Alabama, producing excessive rainfall and flooding in the Florence area.",1
1076810,MADISON CO.,JEFF,01/03/2023,1208,Thunderstorm Wind,61.00, ,0,0,0,0,AL,CST-6,EG,175314,C,89,HUN,0,0,Public, , , ,1,SW,1,SW,JEFF,01/03/2023,1208,34.81,-86.73,34.81,-86.73,"Report of broken windows, siding and shutters peeled and trees knocked down.","A quasi-linear convective system progressed east through north Alabama and southern middle Tennessee from the late morning through the middle afternoon hours.  A supercell within the line produced an EF-1 tornado in Franklin County northwest of Russellville. Damaging winds were reported at times along this line, knocking down trees, power lines, and producing damage to some homes.  A second area of thunderstorms arrived during the mid to late evening hours in northwest Alabama, producing excessive rainfall and flooding in the Florence area.",2
1076796,MADISON (ZONE), ,01/25/2023,400,Strong Wind,39.00, ,0,0,500,0,AL,CST-6,EG,175731,Z,6,HUN,0,0,Broadcast Media, , , , , , , , ,01/25/2023,600, , , , ,"A tree was knocked down on Mastin Lake Road, just east of Jordan Lane, blocking one lane of travel. Also, a large tree branch was knocked down 6 miles northwest of Owens Crossroads.","A strong low pressure system moved northeast from the central Gulf Coastal states into the central Ohio Valley during the early morning hours of the 25th. Gusty winds developed both ahead of and behind a trailing cold front. The winds reached 25-30 mph sustained, with gusts over 40 mph reported in a few locations.",3
1081339,MADISON (ZONE), ,02/03/2023,400,Winter Weather, , ,0,0,0,0,AL,CST-6, ,177797,Z,6,HUN,0,0,Law Enforcement, , , , , , , , ,02/03/2023,800, , , , ,"Multiple accidents occurred during the morning commuting period along Interstate 565 between Decatur and Huntsville in Limestone and Madison Counties.  Patchy black ice developed, especially on bridges and overpasses.","Patchy black ice developed, especially on bridges and overpasses, during the early morning hours.  This resulted in very slippery conditions in some areas during the morning commute. Multiple accidents occurred on Interstate 565 in Limestone into Madison Counties between Decatur and Huntsville.",4
1081182,MADISON (ZONE), ,02/12/2023,400,Winter Weather, , ,0,0,0,0,AL,CST-6, ,176109,Z,6,HUN,0,0,Broadcast Media, , , , , , , , ,02/12/2023,900, , , , ,"Rain changed to wet snow above 1000 FT AGL, mainly atop the higher elevations and mountains of eastern Madison County, including Monte Sano and Keel Mountain. Snowfall of 0.5 inches or less were reported, mainly on grassy or elevated surfaces.","A powerful upper level low pressure system moved northeast through southern Alabama into central Georgia during the morning hours of the 12th.  Widespread rainfall changed to wet snow for a brief period, mainly in the higher elevations above 1000 ft AGL elevation. This resulted in minor snow accumulations under one inch, mainly in grassy areas, of Jackson, DeKalb, Marshall and eastern Madison Counties.",5
1081192,MADISON (ZONE), ,02/27/2023,1500,High Wind,50.00, ,0,0,2000,0,AL,CST-6,MG,176657,Z,6,HUN,0,0,ASOS, , , , , , , , ,02/27/2023,1700, , , , ,"A peak wind gust of 58 mph was recorded at the Huntsville International Airport at 356 PM CST. A large power outage was reported in south Huntsville due to power lines being knocked down.","Southwest to west winds behind a cold front increased to 25 to 35 mph, with gusts over 50 mph in a few locations.  A peak gust of 58 mph was reported at Huntsville at 356 pm and 52 mph at Muscle Shoals at 202 pm.  Power outages were reported in south Huntsville and a string of traffic lights were knocked down in Decatur on Beltline Road.",6
1081834,MADISON CO.,SKINEM,03/01/2023,2232,Tornado, ,EF1,0,0,0,0,AL,CST-6, ,176764,C,89,HUN,0,0,NWS Storm Survey, ,0.14,25,1,E,1,E,SKINEM,03/01/2023,2233,34.9504,-86.5074,34.9509,-86.5051,"An EF-1 tornado with peak winds estimated at 110 mph caused a significant amount of damage to structures along Short Track Drive in New Market. The tornado formed east of Roy Davis Road and lifted just east of Short Track Road. Several  houses experienced roof damage with greater than 20% loss along with a pickup truck that tipped over. One single family residence had significant roof loss, but walls remained intact. This prompted the rating of a high-end EF-1.","Supercells erupted during the late afternoon and early evening hours in northern Mississippi and spread east across north Alabama during the rest of the evening into the overnight hours.  At least one tornado was determined to produce damage in northern Madison County near New Market. Other reports of damaging winds were reported. The other impact from this evening was excessive rainfall and flash flooding. A band of 3-6 inch rainfall occurred from northwest into north central Alabama, resulting in several area creeks and small streams going into flood.",7
1087378,MADISON CO.,STEGERS STORE,03/01/2023,2233,Thunderstorm Wind,70.00, ,0,0,0,0,AL,CST-6,EG,176764,C,89,HUN,0,0,Emergency Manager, , , ,1,N,1,N,STEGERS STORE,03/01/2023,2233,34.9,-86.57,34.9,-86.57,"Power poles were snapped near Highway 231 and Walker Lane. Time estimated by radar.","Supercells erupted during the late afternoon and early evening hours in northern Mississippi and spread east across north Alabama during the rest of the evening into the overnight hours.  At least one tornado was determined to produce damage in northern Madison County near New Market. Other reports of damaging winds were reported. The other impact from this evening was excessive rainfall and flash flooding. A band of 3-6 inch rainfall occurred from northwest into north central Alabama, resulting in several area creeks and small streams going into flood.",8
1081500,MADISON CO.,FLETCHER CHAPEL,03/01/2023,2238,Flash Flood, , ,0,0,0,0,AL,CST-6, ,176764,C,89,HUN,0,0,Amateur Radio,Heavy Rain, , ,1,NE,1,ENE,FLETCHER CHAPEL,03/02/2023,400,34.74,-86.66,34.7352,-86.6599,"Vehicles stuck in floodwaters near the intersection of University Drive and Ampitheatre Drive.","Supercells erupted during the late afternoon and early evening hours in northern Mississippi and spread east across north Alabama during the rest of the evening into the overnight hours.  At least one tornado was determined to produce damage in northern Madison County near New Market. Other reports of damaging winds were reported. The other impact from this evening was excessive rainfall and flash flooding. A band of 3-6 inch rainfall occurred from northwest into north central Alabama, resulting in several area creeks and small streams going into flood.",9
1081501,MADISON CO.,HUNTSVILLE,03/01/2023,2240,Flash Flood, , ,0,0,0,0,AL,CST-6, ,176764,C,89,HUN,0,0,Emergency Manager,Heavy Rain, , ,1,ENE,1,ENE,HUNTSVILLE,03/02/2023,400,34.74,-86.6,34.741,-86.6,"Flooding over the road and vehicles stalled near the intersection of University Drive and Memorial Parkway. Depth of water unknown.","Supercells erupted during the late afternoon and early evening hours in northern Mississippi and spread east across north Alabama during the rest of the evening into the overnight hours.  At least one tornado was determined to produce damage in northern Madison County near New Market. Other reports of damaging winds were reported. The other impact from this evening was excessive rainfall and flash flooding. A band of 3-6 inch rainfall occurred from northwest into north central Alabama, resulting in several area creeks and small streams going into flood.",10
