STATION,DATE_TIME,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP,DATE,EVENT
72323003856,2024-01-01T00:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"220,1,N,0026,1","22000,1,9,N","016000,1,9,9","+0106,1","+0000,1","10186,1",01/01/2024,
72323003856,2024-02-28T00:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"190,1,N,0067,1","99999,9,9,N","016000,1,9,9","+0222,1","+0139,1","10074,1",02/28/2024,
72323003856,2024-02-28T00:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"180,5,N,0062,5","04877,5,M,N","016093,5,N,5","+0217,5","+0139,5","10068,5",02/28/2024,
72323003856,2024-02-28T01:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0067,5","04877,5,M,N","016093,5,N,5","+0217,5","+0150,5","10075,5",02/28/2024,
72323003856,2024-02-28T02:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"190,5,N,0077,5","05182,5,M,N","016093,5,N,5","+0217,5","+0156,5","10070,5",02/28/2024,
72323003856,2024-02-28T03:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"190,1,N,0077,1","99999,9,9,N","016000,1,9,9","+0217,1","+0156,1","10070,1",02/28/2024,
72323003856,2024-02-28T03:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0093,5","05486,5,M,N","016093,5,N,5","+0228,5","+0156,5","10070,5",02/28/2024,
72323003856,2024-02-28T04:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0077,5","01006,5,M,N","016093,5,N,5","+0211,5","+0156,5","10073,5",02/28/2024,
72323003856,2024-02-28T05:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0082,5","00945,5,M,N","016093,5,N,5","+0211,5","+0156,5","10074,5",02/28/2024,
72323003856,2024-02-28T05:59:00,6,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",SOD  ,KHSV ,V030,"999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",02/28/2024,
72323003856,2024-02-28T06:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"200,1,N,0082,1","99999,9,9,N","016000,1,9,9","+0211,1","+0156,1","10074,1",02/28/2024,
72323003856,2024-02-28T06:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0082,5","00914,5,M,N","016093,5,N,5","+0206,5","+0161,5","10074,5",02/28/2024,
72323003856,2024-02-28T07:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0093,5","22000,5,9,N","016093,5,N,5","+0206,5","+0161,5","10059,5",02/28/2024,
72323003856,2024-02-28T08:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"240,5,N,0062,5","00914,5,M,N","016093,5,N,5","+0206,5","+0161,5","10069,5",02/28/2024,
72323003856,2024-02-28T09:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"240,1,N,0062,1","99999,9,9,N","016000,1,9,9","+0206,1","+0161,1","10069,1",02/28/2024,
72323003856,2024-02-28T09:05:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-16,KHSV ,V030,"250,5,N,0051,5","00853,5,M,N","016093,5,N,5","+0211,5","+0161,5","99999,9",02/28/2024,
72323003856,2024-02-28T09:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"220,5,N,0067,5","00823,5,M,N","016093,5,N,5","+0206,5","+0167,5","10075,5",02/28/2024,
72323003856,2024-02-28T10:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"200,5,N,0072,5","00823,5,M,N","016093,5,N,5","+0206,5","+0167,5","10070,5",02/28/2024,
72323003856,2024-02-28T11:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"210,5,N,0057,5","00853,5,M,N","016093,5,N,5","+0206,5","+0167,5","10070,5",02/28/2024,
72323003856,2024-02-28T12:00:00,4,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-12,99999,V020,"210,1,N,0057,1","99999,9,9,N","016000,1,9,9","+0206,1","+0167,1","10070,1",02/28/2024,
72323003856,2024-02-28T12:53:00,7,34.64406,-86.78615,190,"HUNTSVILLE INTNL AIRPORT, AL US",FM-15,KHSV ,V030,"220,5,N,0077,5","00853,5,M,N","016093,5,N,5","+0211,5","+0167,5","10080,5",02/28/2024,
