Observation ID,Phenomenon Time,Result Time,Location,Air Temperature (°C),Relative Humidity (%),Air Pressure (hPa),Seawater Temperature (°C),Wind Direction (°),Wind Speed (m/s),Seawater Salinity (PSU),Water Current Speed (m/s),Water Current Direction (°),Dominant Wave Period (s),Significant Wave Height (m)
ncodp04sa6p65gr5k9pf58a9fs,2021-10-21T00:00:00Z,2021-10-21T00:00:00Z,24.3430336 + -61.6090112,27.58,79.38,1019.44,28.3778,79.9,4.67,36.5952,0.4,158.7,9.85,1.457
2qq9iomqieostgr5k9pf58a9fs,2021-10-21T00:30:00Z,2021-10-21T00:30:00Z,24.3401616 + -61.61264,27.47,81.23,1019.65,28.4097,76.7,5.09,36.5911,0.388,159.3,9.85,1.456
jlvdgri4u5dn1gr5k9pf58a9fs,2021-10-21T01:00:00Z,2021-10-21T01:00:00Z,24.3387488 + -61.6178816,27.41,80.71,1019.73,28.4121,95.9,5.45,36.5926,0.282,160.7,9.14,1.574
afmcdpi0oa0ajgr5k9pf58a9fs,2021-10-21T02:00:00Z,2021-10-21T02:00:00Z,24.3431344 + -61.6280896,27.15,82.44,1019.7,28.3226,115.8,3.74,36.6004,0.269,190.6,9.14,1.442
md12itdqk63u5gr5k9pf58a9fs,2021-10-21T02:30:00Z,2021-10-21T02:30:00Z,24.3448704 + -61.6338368,27.63,81,1019.68,28.2748,106.3,5.85,36.6025,0.198,213.6,9.85,1.417
mujrcfmq62erfgr5k9pf58a9fs,2021-10-21T03:00:00Z,2021-10-21T03:00:00Z,24.34852 + -61.6419392,27.49,80.17,1019.46,28.2614,97.1,5.15,36.6048,0.208,215.2,9.85,1.381
ms53epavinlv7gr5k9pf58a9fs,2021-10-21T03:30:00Z,2021-10-21T03:30:00Z,24.3540464 + -61.6517312,27.62,77.81,1019.23,28.2415,105.5,5.91,36.6188,0.199,247.1,8.53,1.453
s5tpnkvkvjefpgr5k9pf58a9fs,2021-10-21T04:00:00Z,2021-10-21T04:00:00Z,24.3609808 + -61.6620416,27.54,79.48,1019.08,28.2321,101.3,5.5,36.6495,0.262,265.8,9.14,1.446
k9hcqv49qpvcbgr5k9pf58a9fs,2021-10-21T04:30:00Z,2021-10-21T04:30:00Z,24.3680656 + -61.6710016,27.37,79.29,1018.98,28.2336,103.1,5.43,36.6594,0.203,265.9,10.67,1.499
seeui30d0cbchgr5k9pf58a9fs,2021-10-21T05:00:00Z,2021-10-21T05:00:00Z,24.375192 + -61.6789056,27.46,76.74,1018.83,28.2545,117.1,4.94,36.6482,0.197,269.2,9.85,1.555
t1eqvsd92hvp3gr5k9pf58a9fs,2021-10-21T05:30:00Z,2021-10-21T05:30:00Z,24.383528 + -61.6870976,27.39,74.52,1018.66,28.2685,104.7,5.44,36.6487,0.197,262,9.85,1.47
6m18iq7dlc881gr5k9pf58a9fs,2021-10-21T06:00:00Z,2021-10-21T06:00:00Z,24.3883088 + -61.6950336,27.36,79.1,1018.65,28.2915,111.1,5.41,36.638,0.155,276.6,9.85,1.588
kkv8ev6nuefrngr5k9pf58a9fs,2021-10-21T06:30:00Z,2021-10-21T06:30:00Z,24.393744 + -61.7032128,27.34,76.88,1018.52,28.2928,92.8,4.48,36.6409,0.148,275.7,9.85,1.611
ppu5nlp5mtjb3gr5k9pf58a9fs,2021-10-21T07:00:00Z,2021-10-21T07:00:00Z,24.3981776 + -61.7114496,27.3,78.66,1018.17,28.2782,90.7,4.63,36.6335,0.129,296.1,10.67,1.69
2eqnrod4n82qjgr5k9pf58a9fs,2021-10-21T08:00:00Z,2021-10-21T08:00:00Z,24.4097296 + -61.7274816,27.18,76.5,1018.02,28.2318,107.1,4.26,36.6333,0.179,321.7,9.85,1.655
